"row_id","vehicle_id","latitude","longitude","distance_from_prev_point","worker_id"
"1","1168038","31.81654","35.18962",0,-1
"2","1168038","31.81489","35.19168",268,1
"3","1168038","31.81528","35.19092",84,2
"4","1168038","31.81502","35.19194",101,3
"5","1168038","31.81752","35.18783",478,4
"11","1168038","31.81723","35.18818",46,5
"12","1168038","31.79666","35.22951",4531,6
"18","1168038","31.79995","35.23269",474,7
"30","1168038","31.80293","35.22923",466,8
"32","1168038","31.80417","35.23035",174,1
"34","1168038","31.80412","35.23182",139,2
"55","1168038","31.80383","35.23254",75,3
"57","1168038","31.80385","35.23313",56,4
"71","1168038","31.80458","35.23575",261,5
"75","1168038","31.8073","35.23556",303,6
"84","1168038","31.80673","35.23451",118,7
"90","1168038","31.80644","35.22993",434,8
"103","1168038","31.8057","35.22051",895,1
"116","1168038","31.80651","35.21614",423,2
"130","1168038","31.80881","35.20762",846,3
"142","1168038","31.81253","35.2013",727,4
"145","1168038","31.81273","35.19935",186,5
"158","1168038","31.81503","35.19516",472,6
"166","1168038","31.81248","35.19522",284,7
"172","1168038","31.8143","35.19322",277,8
"179","1168038","31.81649","35.18982",404,1
"6","508395","32.8164","35.13748",0,-1
"8","508395","32.81615","35.13755",29,1
"9","508395","32.81615","35.13755",0,2
"10","508395","32.81615","35.13755",0,3
"31","508395","32.81739","35.05473",7749,4
"35","508395","32.81716","35.05505",39,5
"38","508395","32.81737","35.05471",39,6
"39","508395","32.81736","35.05529",54,7
"42","508395","32.81879","35.05491",163,8
"43","508395","32.81953","35.05535",92,1
"48","508395","32.82297","35.05816",464,2
"49","508395","32.82462","35.05893",197,3
"50","508395","32.8264","35.0609",271,4
"52","508395","32.82672","35.06171",84,5
"53","508395","32.82795","35.06306",186,7
"56","508395","32.83006","35.06367",242,6
"61","508395","32.83211","35.06441",238,8
"64","508395","32.83371","35.06506",188,1
"67","508395","32.83419","35.06526",57,2
"68","508395","32.83494","35.06563",90,4
"72","508395","32.83627","35.06721",209,5
"73","508395","32.83563","35.06851",141,7
"76","508395","32.8342","35.07141",315,6
"77","508395","32.83354","35.07248",124,8
"80","508395","32.83265","35.07367",149,1
"101","508395","32.83255","35.07378",15,2
"102","508395","32.83255","35.07376",2,4
"105","508395","32.83254","35.07375",1,5
"106","508395","32.83255","35.07373",2,7
"107","508395","32.83255","35.07373",0,6
"108","508395","32.83252","35.07374",3,8
"113","508395","32.83244","35.07369",10,1
"114","508395","32.83242","35.07368",2,2
"115","508395","32.83235","35.07368",8,4
"117","508395","32.83224","35.07373",13,5
"118","508395","32.83224","35.07373",0,7
"119","508395","32.83209","35.07377",17,6
"120","508395","32.83175","35.07387",39,8
"122","508395","32.83157","35.07393",21,1
"123","508395","32.83157","35.07393",0,3
"124","508395","32.83137","35.07399",23,2
"125","508395","32.83118","35.07404",22,4
"126","508395","32.8308","35.07415",44,5
"127","508395","32.83061","35.0742",22,7
"129","508395","32.83024","35.07431",42,8
"132","508395","32.82903","35.0746",137,6
"139","508395","32.82727","35.07516",203,1
"144","508395","32.82465","35.07709",343,3
"146","508395","32.82417","35.07889",177,2
"160","508395","32.82411","35.07951",58,4
"165","508395","32.82361","35.0817",212,5
"167","508395","32.82211","35.08153",168,7
"171","508395","32.81995","35.08102",245,8
"173","508395","32.81887","35.08059",127,6
"174","508395","32.8171","35.07945",224,1
"187","508395","32.81679","35.07922",41,3
"195","508395","32.81552","35.08138",247,2
"198","508395","32.81519","35.08643",474,4
"199","508395","32.81522","35.08741",92,5
"205","508395","32.81454","35.09181",419,7
"210","508395","32.81321","35.09649",462,8
"213","508395","32.81267","35.09892",235,6
"215","508395","32.81264","35.09954",58,1
"218","508395","32.81289","35.1002",68,3
"219","508395","32.81406","35.10153",180,2
"222","508395","32.81456","35.10283",134,4
"226","508395","32.81612","35.10515",278,5
"228","508395","32.81684","35.1064",142,7
"231","508395","32.81656","35.10798",151,8
"233","508395","32.81644","35.10929",123,6
"235","508395","32.81682","35.10997",76,1
"241","508395","32.81752","35.1112",139,3
"244","508395","32.81809","35.11221",114,2
"247","508395","32.81903","35.11388",188,4
"251","508395","32.81907","35.11599",197,5
"252","508395","32.81581","35.12027",540,7
"256","508395","32.81507","35.12463",416,8
"257","508395","32.81395","35.1279",330,6
"258","508395","32.81261","35.12947",209,1
"259","508395","32.80997","35.1318",366,1
"260","508395","32.80891","35.13297",161,2
"261","508395","32.80906","35.13406",103,4
"262","508395","32.80925","35.13502",92,3
"263","508395","32.80952","35.13752",236,5
"264","508395","32.80988","35.14",235,7
"265","508395","32.8117","35.14305",350,8
"266","508395","32.81226","35.14222",100,6
"7","1201369","32.057","34.8456",0,-1
"13","1201369","31.93317","34.92807",15832,1
"14","1201369","31.94209","34.92984",1007,2
"15","1201369","31.94865","34.93137",744,3
"16","1201369","31.9538","34.93473",655,4
"17","1201369","31.95424","34.93512",61,5
"19","1201369","31.95599","34.93663",241,6
"20","1201369","31.95601","34.93687",23,7
"21","1201369","31.95587","34.9374",52,8
"22","1201369","31.95567","34.93796",57,3
"23","1201369","31.95541","34.93842",52,1
"24","1201369","31.95522","34.93858",26,2
"25","1201369","31.95425","34.93938",132,4
"26","1201369","31.95423","34.93944",6,5
"27","1201369","31.95422","34.93949",5,6
"28","1201369","31.95424","34.93955",6,7
"29","1201369","31.95437","34.93975",24,8
"33","1201369","31.95473","34.94013",54,3
"36","1201369","31.95489","34.94017",18,1
"37","1201369","31.95556","34.9407",90,2
"40","1201369","31.95756","34.94206",257,4
"41","1201369","31.95926","34.94226",190,5
"44","1201369","31.96371","34.94217",495,6
"45","1201369","31.96395","34.94221",27,7
"46","1201369","31.96434","34.94233",45,8
"47","1201369","31.96462","34.94248",34,3
"51","1201369","31.97602","34.94841",1387,1
"54","1201369","31.98007","34.95079",504,2
"58","1201369","31.98314","34.95204",362,4
"59","1201369","31.98338","34.952",27,5
"60","1201369","31.98342","34.95198",5,6
"62","1201369","31.98357","34.95174",28,7
"63","1201369","31.98355","34.95174",2,8
"65","1201369","31.98358","34.95172",4,3
"66","1201369","31.9846","34.95159",114,1
"69","1201369","31.9876","34.95081",342,2
"70","1201369","31.9893","34.95099",190,4
"74","1201369","31.99545","34.95168",688,5
